hostname,os,enviroment,country,node
STNOR003,SOLARIS,Testing,Norway,3
SPESP009,SOLARIS,Production,Spain,9
SSITA004,SOLARIS,Staging,Italy,4
LSIRL022,LINUX,Staging,Ireland,22
APDEU010,AIX,Production,Germany,10
LTESP015,LINUX,Testing,Spain,15
APITA006,AIX,Production,Italy,6
HPNOR002,HP-UX,Production,Norway,2
HPIRL010,HP-UX,Production,Ireland,10
SPIRL018,SOLARIS,Production,Ireland,18
LPFRA008,LINUX,Production,France,8
SPDEU012,SOLARIS,Production,Germany,12
LPDEU019,LINUX,Production,Germany,19
SPDEU013,SOLARIS,Production,Germany,13
ATITA003,AIX,Testing,Italy,3
STESP010,SOLARIS,Testing,Spain,10
ADNOR002,AIX,Development,Norway,2
SPDEU014,SOLARIS,Production,Germany,14
STNOR004,SOLARIS,Testing,Norway,4
ATIRL008,AIX,Testing,Ireland,8
LSIRL023,LINUX,Staging,Ireland,23
SSIRL009,SOLARIS,Staging,Ireland,9
APDEU011,AIX,Production,Germany,11
STITA008,SOLARIS,Testing,Italy,8
LIIRL012,LINUX,Integration,Ireland,12
LDIRL010,LINUX,Development,Ireland,10
LPIRL026,LINUX,Production,Ireland,26
LIFRA002,LINUX,Integration,France,2
APDEU012,AIX,Production,Germany,12
SPITA009,SOLARIS,Production,Italy,9
SPIRL019,SOLARIS,Production,Ireland,19
LPIRL027,LINUX,Production,Ireland,27
ASESP003,AIX,Staging,Spain,3
LTIRL020,LINUX,Testing,Ireland,20
STITA009,SOLARIS,Testing,Italy,9
LTIRL021,LINUX,Testing,Ireland,21
STNOR005,SOLARIS,Testing,Norway,5
STIRL014,SOLARIS,Testing,Ireland,14
HSDEU004,HP-UX,Staging,Germany,4
HPIRL011,HP-UX,Production,Ireland,11
ASNOR004,AIX,Staging,Norway,4
SPITA010,SOLARIS,Production,Italy,10
SSESP004,SOLARIS,Staging,Spain,4
ASIRL008,AIX,Staging,Ireland,8
LIESP006,LINUX,Integration,Spain,6
LTDEU019,LINUX,Testing,Germany,19
LSDEU014,LINUX,Staging,Germany,14
ASDEU006,AIX,Staging,Germany,6
LPNOR005,LINUX,Production,Norway,5
SDESP004,SOLARIS,Development,Spain,4
LPIRL028,LINUX,Production,Ireland,28
LIDEU008,LINUX,Integration,Germany,8
HPIRL012,HP-UX,Production,Ireland,12
SIIRL008,SOLARIS,Integration,Ireland,8
AIFRA001,AIX,Integration,France,1
ASITA003,AIX,Staging,Italy,3
LSIRL024,LINUX,Staging,Ireland,24
HTIRL007,HP-UX,Testing,Ireland,7
LTFRA003,LINUX,Testing,France,3
HIDEU003,HP-UX,Integration,Germany,3
LPIRL029,LINUX,Production,Ireland,29
LPITA009,LINUX,Production,Italy,9
LSIRL025,LINUX,Staging,Ireland,25
LTIRL022,LINUX,Testing,Ireland,22
LSDEU015,LINUX,Staging,Germany,15
HSESP004,HP-UX,Staging,Spain,4
ATIRL009,AIX,Testing,Ireland,9
LPIRL030,LINUX,Production,Ireland,30
SPIRL020,SOLARIS,Production,Ireland,20
LSITA009,LINUX,Staging,Italy,9
LSIRL026,LINUX,Staging,Ireland,26
SPNOR006,SOLARIS,Production,Norway,6
HSESP005,HP-UX,Staging,Spain,5
SSITA005,SOLARIS,Staging,Italy,5
ASIRL009,AIX,Staging,Ireland,9
SSESP005,SOLARIS,Staging,Spain,5
LSIRL027,LINUX,Staging,Ireland,27
SDDEU005,SOLARIS,Development,Germany,5
STITA010,SOLARIS,Testing,Italy,10
LPDEU020,LINUX,Production,Germany,20
LTIRL023,LINUX,Testing,Ireland,23
ASESP004,AIX,Staging,Spain,4
STDEU012,SOLARIS,Testing,Germany,12
APIRL014,AIX,Production,Ireland,14
ASESP005,AIX,Staging,Spain,5
LPIRL031,LINUX,Production,Ireland,31
LSESP014,LINUX,Staging,Spain,14
SSESP006,SOLARIS,Staging,Spain,6
LPDEU021,LINUX,Production,Germany,21
SDITA003,SOLARIS,Development,Italy,3
HSDEU005,HP-UX,Staging,Germany,5
ATIRL010,AIX,Testing,Ireland,10
ADDEU004,AIX,Development,Germany,4
LTIRL024,LINUX,Testing,Ireland,24
LPDEU022,LINUX,Production,Germany,22
LSDEU016,LINUX,Staging,Germany,16
HSIRL010,HP-UX,Staging,Ireland,10
SPNOR007,SOLARIS,Production,Norway,7
LDNOR002,LINUX,Development,Norway,2
LDITA006,LINUX,Development,Italy,6
STIRL015,SOLARIS,Testing,Ireland,15
LPDEU023,LINUX,Production,Germany,23
SPFRA007,SOLARIS,Production,France,7
SPESP010,SOLARIS,Production,Spain,10
APESP008,AIX,Production,Spain,8
SSDEU016,SOLARIS,Staging,Germany,16
HSESP006,HP-UX,Staging,Spain,6
SSIRL010,SOLARIS,Staging,Ireland,10
SIDEU009,SOLARIS,Integration,Germany,9
AIIRL005,AIX,Integration,Ireland,5
SPDEU015,SOLARIS,Production,Germany,15
ASITA004,AIX,Staging,Italy,4
LPFRA009,LINUX,Production,France,9
HPDEU004,HP-UX,Production,Germany,4
SDESP005,SOLARIS,Development,Spain,5
LIDEU009,LINUX,Integration,Germany,9
LPESP015,LINUX,Production,Spain,15
SSIRL011,SOLARIS,Staging,Ireland,11
LSIRL028,LINUX,Staging,Ireland,28
STIRL016,SOLARIS,Testing,Ireland,16
SPDEU016,SOLARIS,Production,Germany,16
HTESP004,HP-UX,Testing,Spain,4
SPIRL021,SOLARIS,Production,Ireland,21
ASIRL010,AIX,Staging,Ireland,10
HTESP005,HP-UX,Testing,Spain,5
LDESP004,LINUX,Development,Spain,4
LIESP007,LINUX,Integration,Spain,7
SIITA004,SOLARIS,Integration,Italy,4
LPDEU024,LINUX,Production,Germany,24
APIRL015,AIX,Production,Ireland,15
LTDEU020,LINUX,Testing,Germany,20
LDIRL011,LINUX,Development,Ireland,11
LSESP015,LINUX,Staging,Spain,15
LPIRL032,LINUX,Production,Ireland,32
SPIRL022,SOLARIS,Production,Ireland,22
HPDEU005,HP-UX,Production,Germany,5
LTDEU021,LINUX,Testing,Germany,21
HSIRL011,HP-UX,Staging,Ireland,11
SPIRL023,SOLARIS,Production,Ireland,23
LPFRA010,LINUX,Production,France,10
STESP011,SOLARIS,Testing,Spain,11
STFRA009,SOLARIS,Testing,France,9
APFRA006,AIX,Production,France,6
LIIRL013,LINUX,Integration,Ireland,13
ASNOR005,AIX,Staging,Norway,5
ASIRL011,AIX,Staging,Ireland,11
LPIRL033,LINUX,Production,Ireland,33
AIESP002,AIX,Integration,Spain,2
LPIRL034,LINUX,Production,Ireland,34
LTESP016,LINUX,Testing,Spain,16
LTESP017,LINUX,Testing,Spain,17
LDNOR003,LINUX,Development,Norway,3
SSFRA005,SOLARIS,Staging,France,5
LSIRL029,LINUX,Staging,Ireland,29
HSDEU006,HP-UX,Staging,Germany,6
LTITA008,LINUX,Testing,Italy,8
STFRA010,SOLARIS,Testing,France,10
ATESP011,AIX,Testing,Spain,11
ATIRL011,AIX,Testing,Ireland,11
SPIRL024,SOLARIS,Production,Ireland,24
SSITA006,SOLARIS,Staging,Italy,6
LTESP018,LINUX,Testing,Spain,18
LPIRL035,LINUX,Production,Ireland,35
ASDEU007,AIX,Staging,Germany,7
SSESP007,SOLARIS,Staging,Spain,7
LSDEU017,LINUX,Staging,Germany,17
SPIRL025,SOLARIS,Production,Ireland,25
ADDEU005,AIX,Development,Germany,5
HTDEU005,HP-UX,Testing,Germany,5
LDDEU007,LINUX,Development,Germany,7
LPFRA011,LINUX,Production,France,11
APDEU013,AIX,Production,Germany,13
HSIRL012,HP-UX,Staging,Ireland,12
APESP009,AIX,Production,Spain,9
LTIRL025,LINUX,Testing,Ireland,25
SSDEU017,SOLARIS,Staging,Germany,17
STIRL017,SOLARIS,Testing,Ireland,17
LSIRL030,LINUX,Staging,Ireland,30
STDEU013,SOLARIS,Testing,Germany,13
ATIRL012,AIX,Testing,Ireland,12
SSESP008,SOLARIS,Staging,Spain,8
ATIRL013,AIX,Testing,Ireland,13
APDEU014,AIX,Production,Germany,14
HSDEU007,HP-UX,Staging,Germany,7
APDEU015,AIX,Production,Germany,15
LSESP016,LINUX,Staging,Spain,16
LTDEU022,LINUX,Testing,Germany,22
LIIRL014,LINUX,Integration,Ireland,14
LPFRA012,LINUX,Production,France,12
STFRA011,SOLARIS,Testing,France,11
HPDEU006,HP-UX,Production,Germany,6
SSDEU018,SOLARIS,Staging,Germany,18
HTIRL008,HP-UX,Testing,Ireland,8
LTITA009,LINUX,Testing,Italy,9
HSIRL013,HP-UX,Staging,Ireland,13
HPESP004,HP-UX,Production,Spain,4
ATESP012,AIX,Testing,Spain,12
SPFRA008,SOLARIS,Production,France,8
SSITA007,SOLARIS,Staging,Italy,7
LTITA010,LINUX,Testing,Italy,10
LSIRL031,LINUX,Staging,Ireland,31
ASIRL012,AIX,Staging,Ireland,12
STITA011,SOLARIS,Testing,Italy,11
LIIRL015,LINUX,Integration,Ireland,15
STESP012,SOLARIS,Testing,Spain,12
LSITA010,LINUX,Staging,Italy,10
APESP010,AIX,Production,Spain,10
LIDEU010,LINUX,Integration,Germany,10
LDESP005,LINUX,Development,Spain,5
LPDEU025,LINUX,Production,Germany,25
LPESP016,LINUX,Production,Spain,16
LDIRL012,LINUX,Development,Ireland,12
AIITA002,AIX,Integration,Italy,2
ATIRL014,AIX,Testing,Ireland,14
SPESP011,SOLARIS,Production,Spain,11
LSITA011,LINUX,Staging,Italy,11
HTIRL009,HP-UX,Testing,Ireland,9
ATESP013,AIX,Testing,Spain,13
HDIRL005,HP-UX,Development,Ireland,5
STDEU014,SOLARIS,Testing,Germany,14
STIRL018,SOLARIS,Testing,Ireland,18
STIRL019,SOLARIS,Testing,Ireland,19
ATIRL015,AIX,Testing,Ireland,15
AIESP003,AIX,Integration,Spain,3
ASIRL013,AIX,Staging,Ireland,13
ATDEU009,AIX,Testing,Germany,9
LSNOR006,LINUX,Staging,Norway,6
STFRA012,SOLARIS,Testing,France,12
ASITA005,AIX,Staging,Italy,5
SDDEU006,SOLARIS,Development,Germany,6
SPNOR008,SOLARIS,Production,Norway,8
SIIRL009,SOLARIS,Integration,Ireland,9
APDEU016,AIX,Production,Germany,16
SIFRA004,SOLARIS,Integration,France,4
LIDEU011,LINUX,Integration,Germany,11
LSFRA005,LINUX,Staging,France,5
SIDEU010,SOLARIS,Integration,Germany,10
STESP013,SOLARIS,Testing,Spain,13
HTESP006,HP-UX,Testing,Spain,6
SPIRL026,SOLARIS,Production,Ireland,26
HPIRL013,HP-UX,Production,Ireland,13
LTESP019,LINUX,Testing,Spain,19
APFRA007,AIX,Production,France,7
LTIRL026,LINUX,Testing,Ireland,26
SPITA011,SOLARIS,Production,Italy,11
LDIRL013,LINUX,Development,Ireland,13
LDDEU008,LINUX,Development,Germany,8
LIITA005,LINUX,Integration,Italy,5
LSFRA006,LINUX,Staging,France,6
LTDEU023,LINUX,Testing,Germany,23
SPDEU017,SOLARIS,Production,Germany,17
HDFRA001,HP-UX,Development,France,1
LIESP008,LINUX,Integration,Spain,8
AIDEU004,AIX,Integration,Germany,4
LPESP017,LINUX,Production,Spain,17
ASNOR006,AIX,Staging,Norway,6
APNOR004,AIX,Production,Norway,4
SSESP009,SOLARIS,Staging,Spain,9
LPITA010,LINUX,Production,Italy,10
HIDEU004,HP-UX,Integration,Germany,4
APIRL016,AIX,Production,Ireland,16
LPESP018,LINUX,Production,Spain,18
HPDEU007,HP-UX,Production,Germany,7
LPIRL036,LINUX,Production,Ireland,36
LSDEU018,LINUX,Staging,Germany,18
ADESP002,AIX,Development,Spain,2
LPESP019,LINUX,Production,Spain,19
SDDEU007,SOLARIS,Development,Germany,7
HPDEU008,HP-UX,Production,Germany,8
SDDEU008,SOLARIS,Development,Germany,8
LDITA007,LINUX,Development,Italy,7
ASIRL014,AIX,Staging,Ireland,14
SDIRL005,SOLARIS,Development,Ireland,5
LPIRL037,LINUX,Production,Ireland,37
LTIRL027,LINUX,Testing,Ireland,27
LSIRL032,LINUX,Staging,Ireland,32
LPITA011,LINUX,Production,Italy,11
SPDEU018,SOLARIS,Production,Germany,18
HSITA003,HP-UX,Staging,Italy,3
SPITA012,SOLARIS,Production,Italy,12
SIESP004,SOLARIS,Integration,Spain,4
LSDEU019,LINUX,Staging,Germany,19
SPIRL027,SOLARIS,Production,Ireland,27
LPIRL038,LINUX,Production,Ireland,38
SPESP012,SOLARIS,Production,Spain,12
HSNOR001,HP-UX,Staging,Norway,1
SPIRL028,SOLARIS,Production,Ireland,28
LSIRL033,LINUX,Staging,Ireland,33
STIRL020,SOLARIS,Testing,Ireland,20
LIITA006,LINUX,Integration,Italy,6
LIITA007,LINUX,Integration,Italy,7
SSITA008,SOLARIS,Staging,Italy,8
LSESP017,LINUX,Staging,Spain,17
LPIRL039,LINUX,Production,Ireland,39
HINOR002,HP-UX,Integration,Norway,2
SPIRL029,SOLARIS,Production,Ireland,29
ATITA004,AIX,Testing,Italy,4
AIDEU005,AIX,Integration,Germany,5
LPDEU026,LINUX,Production,Germany,26
SDESP006,SOLARIS,Development,Spain,6
LPIRL040,LINUX,Production,Ireland,40
APDEU017,AIX,Production,Germany,17
SIITA005,SOLARIS,Integration,Italy,5
LPDEU027,LINUX,Production,Germany,27
LSIRL034,LINUX,Staging,Ireland,34
SPIRL030,SOLARIS,Production,Ireland,30
APIRL017,AIX,Production,Ireland,17
AINOR003,AIX,Integration,Norway,3
AIITA003,AIX,Integration,Italy,3
ASNOR007,AIX,Staging,Norway,7
LPIRL041,LINUX,Production,Ireland,41
SSESP010,SOLARIS,Staging,Spain,10
HSIRL014,HP-UX,Staging,Ireland,14
SPIRL031,SOLARIS,Production,Ireland,31
AINOR004,AIX,Integration,Norway,4
SIDEU011,SOLARIS,Integration,Germany,11
LTIRL028,LINUX,Testing,Ireland,28
LDESP006,LINUX,Development,Spain,6
SSNOR001,SOLARIS,Staging,Norway,1
SSFRA006,SOLARIS,Staging,France,6
LDIRL014,LINUX,Development,Ireland,14
LTIRL029,LINUX,Testing,Ireland,29
LPDEU028,LINUX,Production,Germany,28
SPIRL032,SOLARIS,Production,Ireland,32
LSESP018,LINUX,Staging,Spain,18
ASIRL015,AIX,Staging,Ireland,15
APDEU018,AIX,Production,Germany,18
LPIRL042,LINUX,Production,Ireland,42
LTFRA004,LINUX,Testing,France,4
SIITA006,SOLARIS,Integration,Italy,6
SDNOR003,SOLARIS,Development,Norway,3
APIRL018,AIX,Production,Ireland,18
SPESP013,SOLARIS,Production,Spain,13
LPESP020,LINUX,Production,Spain,20
ATIRL016,AIX,Testing,Ireland,16
APIRL019,AIX,Production,Ireland,19
LPESP021,LINUX,Production,Spain,21
ASIRL016,AIX,Staging,Ireland,16
SIIRL010,SOLARIS,Integration,Ireland,10
LSIRL035,LINUX,Staging,Ireland,35
LDDEU009,LINUX,Development,Germany,9
ASFRA004,AIX,Staging,France,4
LPFRA013,LINUX,Production,France,13
HSIRL015,HP-UX,Staging,Ireland,15
LSITA012,LINUX,Staging,Italy,12
LINOR005,LINUX,Integration,Norway,5
SDITA004,SOLARIS,Development,Italy,4
LPITA012,LINUX,Production,Italy,12
LPIRL043,LINUX,Production,Ireland,43
LPDEU029,LINUX,Production,Germany,29
SPESP014,SOLARIS,Production,Spain,14
LSIRL036,LINUX,Staging,Ireland,36
HSESP007,HP-UX,Staging,Spain,7
APNOR005,AIX,Production,Norway,5
ATIRL017,AIX,Testing,Ireland,17
LPITA013,LINUX,Production,Italy,13
LDIRL015,LINUX,Development,Ireland,15
LPDEU030,LINUX,Production,Germany,30
LTESP020,LINUX,Testing,Spain,20
LIFRA003,LINUX,Integration,France,3
STESP014,SOLARIS,Testing,Spain,14
SDIRL006,SOLARIS,Development,Ireland,6
ASDEU008,AIX,Staging,Germany,8
LTIRL030,LINUX,Testing,Ireland,30
LPNOR006,LINUX,Production,Norway,6
LSDEU020,LINUX,Staging,Germany,20
LDESP007,LINUX,Development,Spain,7
SSDEU019,SOLARIS,Staging,Germany,19
SDNOR004,SOLARIS,Development,Norway,4
ADITA001,AIX,Development,Italy,1
LIFRA004,LINUX,Integration,France,4
LSDEU021,LINUX,Staging,Germany,21
SIITA007,SOLARIS,Integration,Italy,7
HTDEU006,HP-UX,Testing,Germany,6
LSDEU022,LINUX,Staging,Germany,22
LTFRA005,LINUX,Testing,France,5
STITA012,SOLARIS,Testing,Italy,12
LSNOR007,LINUX,Staging,Norway,7
HSESP008,HP-UX,Staging,Spain,8
LSIRL037,LINUX,Staging,Ireland,37
APDEU019,AIX,Production,Germany,19
HTIRL010,HP-UX,Testing,Ireland,10
AIITA004,AIX,Integration,Italy,4
SDDEU009,SOLARIS,Development,Germany,9
AIESP004,AIX,Integration,Spain,4
STIRL021,SOLARIS,Testing,Ireland,21
SDIRL007,SOLARIS,Development,Ireland,7
HPIRL014,HP-UX,Production,Ireland,14
HSDEU008,HP-UX,Staging,Germany,8
HSESP009,HP-UX,Staging,Spain,9
LSESP019,LINUX,Staging,Spain,19
LTIRL031,LINUX,Testing,Ireland,31
LSDEU023,LINUX,Staging,Germany,23
SPITA013,SOLARIS,Production,Italy,13
LDIRL016,LINUX,Development,Ireland,16
HTDEU007,HP-UX,Testing,Germany,7
HPESP005,HP-UX,Production,Spain,5
SPIRL033,SOLARIS,Production,Ireland,33
LPITA014,LINUX,Production,Italy,14
LTITA011,LINUX,Testing,Italy,11
LPIRL044,LINUX,Production,Ireland,44
STITA013,SOLARIS,Testing,Italy,13
LDITA008,LINUX,Development,Italy,8
LIITA008,LINUX,Integration,Italy,8
LDITA009,LINUX,Development,Italy,9
SDNOR005,SOLARIS,Development,Norway,5
ASIRL017,AIX,Staging,Ireland,17
LDIRL017,LINUX,Development,Ireland,17
LPESP022,LINUX,Production,Spain,22
HPITA006,HP-UX,Production,Italy,6
ATITA005,AIX,Testing,Italy,5
LPIRL045,LINUX,Production,Ireland,45
LPNOR007,LINUX,Production,Norway,7
LSIRL038,LINUX,Staging,Ireland,38
SSITA009,SOLARIS,Staging,Italy,9
LSITA013,LINUX,Staging,Italy,13
APNOR006,AIX,Production,Norway,6
HDITA003,HP-UX,Development,Italy,3
LTITA012,LINUX,Testing,Italy,12
HIDEU005,HP-UX,Integration,Germany,5
STESP015,SOLARIS,Testing,Spain,15
LTIRL032,LINUX,Testing,Ireland,32
STDEU015,SOLARIS,Testing,Germany,15
SSESP011,SOLARIS,Staging,Spain,11
LSITA014,LINUX,Staging,Italy,14
ASDEU009,AIX,Staging,Germany,9
LSDEU024,LINUX,Staging,Germany,24
SPITA014,SOLARIS,Production,Italy,14
SPIRL034,SOLARIS,Production,Ireland,34
SPDEU019,SOLARIS,Production,Germany,19
ASDEU010,AIX,Staging,Germany,10
LTFRA006,LINUX,Testing,France,6
HTIRL011,HP-UX,Testing,Ireland,11
LSDEU025,LINUX,Staging,Germany,25
SPDEU020,SOLARIS,Production,Germany,20
STDEU016,SOLARIS,Testing,Germany,16
LSDEU026,LINUX,Staging,Germany,26
SPDEU021,SOLARIS,Production,Germany,21
SIIRL011,SOLARIS,Integration,Ireland,11
SDIRL008,SOLARIS,Development,Ireland,8
LTNOR007,LINUX,Testing,Norway,7
HDITA004,HP-UX,Development,Italy,4
APFRA008,AIX,Production,France,8
LPITA015,LINUX,Production,Italy,15
APIRL020,AIX,Production,Ireland,20
LSIRL039,LINUX,Staging,Ireland,39
STDEU017,SOLARIS,Testing,Germany,17
LSIRL040,LINUX,Staging,Ireland,40
ASESP006,AIX,Staging,Spain,6
LDDEU010,LINUX,Development,Germany,10
AINOR005,AIX,Integration,Norway,5
SIDEU012,SOLARIS,Integration,Germany,12
SSDEU020,SOLARIS,Staging,Germany,20
LSDEU027,LINUX,Staging,Germany,27
SPFRA009,SOLARIS,Production,France,9
LSIRL041,LINUX,Staging,Ireland,41
LDIRL018,LINUX,Development,Ireland,18
STFRA013,SOLARIS,Testing,France,13
SSIRL012,SOLARIS,Staging,Ireland,12
LSIRL042,LINUX,Staging,Ireland,42
SPDEU022,SOLARIS,Production,Germany,22
LPIRL046,LINUX,Production,Ireland,46
STDEU018,SOLARIS,Testing,Germany,18
LSIRL043,LINUX,Staging,Ireland,43
ATIRL018,AIX,Testing,Ireland,18
LPESP023,LINUX,Production,Spain,23
LSDEU028,LINUX,Staging,Germany,28
STDEU019,SOLARIS,Testing,Germany,19
SPNOR009,SOLARIS,Production,Norway,9
ASDEU011,AIX,Staging,Germany,11
STIRL022,SOLARIS,Testing,Ireland,22
LIITA009,LINUX,Integration,Italy,9
LPIRL047,LINUX,Production,Ireland,47
HPNOR003,HP-UX,Production,Norway,3
HTIRL012,HP-UX,Testing,Ireland,12
ATESP014,AIX,Testing,Spain,14
LSNOR008,LINUX,Staging,Norway,8
SSIRL013,SOLARIS,Staging,Ireland,13
SPESP015,SOLARIS,Production,Spain,15
LPDEU031,LINUX,Production,Germany,31
SSIRL014,SOLARIS,Staging,Ireland,14
LDDEU011,LINUX,Development,Germany,11
SPFRA010,SOLARIS,Production,France,10
APNOR007,AIX,Production,Norway,7
LSESP020,LINUX,Staging,Spain,20
ATFRA005,AIX,Testing,France,5
ATIRL019,AIX,Testing,Ireland,19
LTFRA007,LINUX,Testing,France,7
SPIRL035,SOLARIS,Production,Ireland,35
LPIRL048,LINUX,Production,Ireland,48
LINOR006,LINUX,Integration,Norway,6
SDITA005,SOLARIS,Development,Italy,5
LTDEU024,LINUX,Testing,Germany,24
SPIRL036,SOLARIS,Production,Ireland,36
LTNOR008,LINUX,Testing,Norway,8
SPITA015,SOLARIS,Production,Italy,15
HSIRL016,HP-UX,Staging,Ireland,16
HSDEU009,HP-UX,Staging,Germany,9
LPITA016,LINUX,Production,Italy,16
LSESP021,LINUX,Staging,Spain,21
SPDEU023,SOLARIS,Production,Germany,23
SPESP016,SOLARIS,Production,Spain,16
LTFRA008,LINUX,Testing,France,8
SPIRL037,SOLARIS,Production,Ireland,37
AIESP005,AIX,Integration,Spain,5
SIDEU013,SOLARIS,Integration,Germany,13
SSESP012,SOLARIS,Staging,Spain,12
SSITA010,SOLARIS,Staging,Italy,10
LIFRA005,LINUX,Integration,France,5
AIDEU006,AIX,Integration,Germany,6
LTDEU025,LINUX,Testing,Germany,25
LTDEU026,LINUX,Testing,Germany,26
SIIRL012,SOLARIS,Integration,Ireland,12
HSESP010,HP-UX,Staging,Spain,10
LTIRL033,LINUX,Testing,Ireland,33
SDESP007,SOLARIS,Development,Spain,7
LDIRL019,LINUX,Development,Ireland,19
LPESP024,LINUX,Production,Spain,24
SSESP013,SOLARIS,Staging,Spain,13
STIRL023,SOLARIS,Testing,Ireland,23
LTDEU027,LINUX,Testing,Germany,27
LTDEU028,LINUX,Testing,Germany,28
ASESP007,AIX,Staging,Spain,7
LTIRL034,LINUX,Testing,Ireland,34
LPIRL049,LINUX,Production,Ireland,49
ASESP008,AIX,Staging,Spain,8
STDEU020,SOLARIS,Testing,Germany,20
ATIRL020,AIX,Testing,Ireland,20
LTITA013,LINUX,Testing,Italy,13
SSIRL015,SOLARIS,Staging,Ireland,15
HDIRL006,HP-UX,Development,Ireland,6
LIIRL016,LINUX,Integration,Ireland,16
LPNOR008,LINUX,Production,Norway,8
LPDEU032,LINUX,Production,Germany,32
ASESP009,AIX,Staging,Spain,9
LSIRL044,LINUX,Staging,Ireland,44
APFRA009,AIX,Production,France,9
LPIRL050,LINUX,Production,Ireland,50
LSITA015,LINUX,Staging,Italy,15
SPESP017,SOLARIS,Production,Spain,17
LTESP021,LINUX,Testing,Spain,21
LTITA014,LINUX,Testing,Italy,14
ASDEU012,AIX,Staging,Germany,12
LTITA015,LINUX,Testing,Italy,15
LSIRL045,LINUX,Staging,Ireland,45
HDESP001,HP-UX,Development,Spain,1
ASNOR008,AIX,Staging,Norway,8
SSESP014,SOLARIS,Staging,Spain,14
SPNOR010,SOLARIS,Production,Norway,10
LPFRA014,LINUX,Production,France,14
APDEU020,AIX,Production,Germany,20
SSESP015,SOLARIS,Staging,Spain,15
LSIRL046,LINUX,Staging,Ireland,46
LIDEU012,LINUX,Integration,Germany,12
APITA007,AIX,Production,Italy,7
LSDEU029,LINUX,Staging,Germany,29
APESP011,AIX,Production,Spain,11
LPESP025,LINUX,Production,Spain,25
LDESP008,LINUX,Development,Spain,8
LPIRL051,LINUX,Production,Ireland,51
APDEU021,AIX,Production,Germany,21
LSIRL047,LINUX,Staging,Ireland,47
LDDEU012,LINUX,Development,Germany,12
LPIRL052,LINUX,Production,Ireland,52
SPDEU024,SOLARIS,Production,Germany,24
ATDEU010,AIX,Testing,Germany,10
APDEU022,AIX,Production,Germany,22
LPIRL053,LINUX,Production,Ireland,53
AIIRL006,AIX,Integration,Ireland,6
ATIRL021,AIX,Testing,Ireland,21
ASESP010,AIX,Staging,Spain,10
LIFRA006,LINUX,Integration,France,6
LTITA016,LINUX,Testing,Italy,16
LTNOR009,LINUX,Testing,Norway,9
ASITA006,AIX,Staging,Italy,6
SPDEU025,SOLARIS,Production,Germany,25
SPFRA011,SOLARIS,Production,France,11
ASIRL018,AIX,Staging,Ireland,18
ADESP003,AIX,Development,Spain,3
LSDEU030,LINUX,Staging,Germany,30
APITA008,AIX,Production,Italy,8
LTIRL035,LINUX,Testing,Ireland,35
LSIRL048,LINUX,Staging,Ireland,48
LSITA016,LINUX,Staging,Italy,16
SPIRL038,SOLARIS,Production,Ireland,38
SDESP008,SOLARIS,Development,Spain,8
LIIRL017,LINUX,Integration,Ireland,17
STIRL024,SOLARIS,Testing,Ireland,24
LPDEU033,LINUX,Production,Germany,33
LDDEU013,LINUX,Development,Germany,13
LPNOR009,LINUX,Production,Norway,9
LSESP022,LINUX,Staging,Spain,22
ATITA006,AIX,Testing,Italy,6
LPFRA015,LINUX,Production,France,15
LDFRA004,LINUX,Development,France,4
HIIRL004,HP-UX,Integration,Ireland,4
ADNOR003,AIX,Development,Norway,3
STIRL025,SOLARIS,Testing,Ireland,25
LTDEU029,LINUX,Testing,Germany,29
LPNOR010,LINUX,Production,Norway,10
STDEU021,SOLARIS,Testing,Germany,21
LIESP009,LINUX,Integration,Spain,9
LSFRA007,LINUX,Staging,France,7
SIFRA005,SOLARIS,Integration,France,5
STIRL026,SOLARIS,Testing,Ireland,26
LSFRA008,LINUX,Staging,France,8
LTITA017,LINUX,Testing,Italy,17
SPESP018,SOLARIS,Production,Spain,18
LPDEU034,LINUX,Production,Germany,34
SPESP019,SOLARIS,Production,Spain,19
LPIRL054,LINUX,Production,Ireland,54
APIRL021,AIX,Production,Ireland,21
LPDEU035,LINUX,Production,Germany,35
HDIRL007,HP-UX,Development,Ireland,7
LSITA017,LINUX,Staging,Italy,17
APDEU023,AIX,Production,Germany,23
STDEU022,SOLARIS,Testing,Germany,22
SSDEU021,SOLARIS,Staging,Germany,21
SPIRL039,SOLARIS,Production,Ireland,39
STNOR006,SOLARIS,Testing,Norway,6
SDITA006,SOLARIS,Development,Italy,6
HTFRA001,HP-UX,Testing,France,1
LDESP009,LINUX,Development,Spain,9
ATITA007,AIX,Testing,Italy,7
HPIRL015,HP-UX,Production,Ireland,15
LTDEU030,LINUX,Testing,Germany,30
LDESP010,LINUX,Development,Spain,10
SSITA011,SOLARIS,Staging,Italy,11
LPIRL055,LINUX,Production,Ireland,55
LSDEU031,LINUX,Staging,Germany,31
STIRL027,SOLARIS,Testing,Ireland,27
ATESP015,AIX,Testing,Spain,15
STNOR007,SOLARIS,Testing,Norway,7
SPDEU026,SOLARIS,Production,Germany,26
LSDEU032,LINUX,Staging,Germany,32
HSDEU010,HP-UX,Staging,Germany,10
HDIRL008,HP-UX,Development,Ireland,8
STESP016,SOLARIS,Testing,Spain,16
LPDEU036,LINUX,Production,Germany,36
SPIRL040,SOLARIS,Production,Ireland,40
LSESP023,LINUX,Staging,Spain,23
